url,title,recipe,ingredients
https://www.ardaninmutfagi.com/yemek-tarifleri/corbalar/mahluta-corbasi-4,Mahluta Çorbası,"[[u''], [u'Bir \xe7orba tenceresine zeytinya\u011f\u0131n\u0131 ekleyin ve \u0131s\u0131t\u0131n.', u'So\u011fan\u0131 ekleyin ve renk alana kadar kavurun.', u'Sar\u0131msaklar\u0131n \xfczerine vurun ve ince ince do\u011fray\u0131p, tencereye ekleyin.', u'Suyu ekleyin ve hafif t\u0131k\u0131rdat\u0131n.', u'Ard\u0131ndan i\xe7erisine y\u0131kad\u0131\u011f\u0131n\u0131z k\u0131rm\u0131z\u0131 mercimek ve pirinci ilave edin, bir tur kar\u0131\u015ft\u0131r\u0131n.', u'Tavuk suyu, tuz, karabiber ve toz ki\u015fni\u015fi ekleyip, kapa\u011f\u0131n\u0131 kapat\u0131p 35 \u2013 40 dakika pi\u015firin.', u'Pi\u015fen \xe7orbay\u0131 kaselere pay edin.', u'\xdczerine limon s\u0131k\u0131p kimyon serperek yan\u0131nda limon dilimi ile servis yap\u0131n.'], [u'']]","Mahluta Çorbası Malzemeleri,2 – 3 yemek kaşığı zeytinyağı,1 adet soğan – yemeklik doğranmış,1 – 2 diş sarımsak – ezilmiş,3 su bardağı su,¾ su bardağı kırmızı mercimek,½ su bardağı pirinç,2 su bardağı tavuk suyu,Tuz,Karabiber,1 tutam toz kişniş,Kimyon,¼ limonun suyu"
https://www.ardaninmutfagi.com/yemek-tarifleri/et-yemekleri/geleli-kebabi-2,Geleli Kebabı,"[[u''], [u'Patl\u0131canlar\u0131 k\xf6zleyin ve temizleyin.', u'Ard\u0131ndan iri k\xfcpler halinde do\u011fray\u0131n ve servis yapaca\u011f\u0131n\u0131z kab\u0131n alt k\u0131sm\u0131na yay\u0131n.'], [u'Geni\u015f bir pilav tenceresini oca\u011f\u0131n\u0131za al\u0131n ve \u0131s\u0131t\u0131n.', u'Is\u0131nan tencerenize iri ku\u015fba\u015f\u0131 do\u011frad\u0131\u011f\u0131n\u0131z etleri ilave edip, m\xfch\xfcrleyin.', u'Hafif su ilave edin ve kapa\u011f\u0131n\u0131 kapat\u0131p, birka\xe7 dakika pi\u015firin.', u'Ay\xe7i\xe7ek ya\u011f\u0131n\u0131 ilave edin ve birka\xe7 tur kar\u0131\u015ft\u0131r\u0131n.', u'So\u011fan ve biberleri iri k\xfcp do\u011fray\u0131p, m\xfch\xfcrlenen etlerinizin i\xe7erisine ilave edin.', u'So\u011fanlar hafif kendilerini b\u0131rak\u0131nca, k\xfcp do\u011frad\u0131\u011f\u0131n\u0131z domatesleri i\xe7erisine ekleyin.', u'Sar\u0131msaklar\u0131 ince ince do\u011fray\u0131n ve tencerenize ekleyin.', u'Tuz, karabiber ve ki\u015fni\u015fi ilave edip, bir tur \xe7evirin.', u'Domates sal\xe7as\u0131 ve suyu ekleyip, hafif kar\u0131\u015ft\u0131r\u0131p tencerenin kapa\u011f\u0131n\u0131 kapat\u0131n.', u'15 \u2013 20 dakika pi\u015firin.', u'Etli harc\u0131n\u0131z pi\u015fince, patl\u0131canlar\u0131n \xfczerine yay\u0131n ve 180 derecede \xf6nceden \u0131s\u0131t\u0131lm\u0131\u015f f\u0131r\u0131nda 15 \u2013 20 dakika pi\u015firin.', u'K\xfc\xe7\xfck bir tavada tereya\u011f\u0131 eritin.', u'F\u0131r\u0131ndan \xe7\u0131kard\u0131\u011f\u0131n\u0131z kebab\u0131n \xfczerine kuru kekik serpin ve tereya\u011f\u0131n\u0131 gezdirerek servis edin.'], [u'']]","Geleli Kebabı Malzemeleri,4 adet bostan patlıcanı – közlenmiş,750 gr. kuzu eti – iri kuşbaşı doğranmış,3 yemek kaşığı ayçiçek yağı,2 adet soğan – iri doğranmış,2 adet sivri biber,2 adet domates,3 diş sarımsak,Tuz,Karabiber,1 tutam toz kişniş,1 yemek kaşığı domates salçası,1 su bardağı su,Üzeri için Malzemeler,Kuru kekik,2 yemek kaşığı tereyağı"
https://www.ardaninmutfagi.com/yemek-tarifleri/corbalar/toyga-corbasi-3,Toyga Çorbası,"[[u''], [u'Bir tencerede s\xfczme yo\u011furt, un, yumurta sar\u0131s\u0131n\u0131 bir su barda\u011f\u0131 suyla beraber p\xfcr\xfczs\xfcz bir k\u0131vam elde edene kadar \xe7\u0131rp\u0131n.', u'4 su barda\u011f\u0131 su ve bu\u011fday\u0131 ilave edin ve s\xfcrekli kar\u0131\u015ft\u0131rarak kaynat\u0131n.', u'\u0130yice k\u0131vam al\u0131nca i\xe7erisine nohut, tuz ve karabiber ekleyip, bir ta\u015f\u0131m kaynat\u0131p, ate\u015ften al\u0131n.', u'K\xfc\xe7\xfck bir tavada tereya\u011f\u0131n\u0131 eritin, \xfczerine kuru nane ve pul biberi ilave edin ve ate\u015ften al\u0131n.', u'Servis kasesine koydu\u011funuz \xe7orban\u0131n \xfczerine haz\u0131rlad\u0131\u011f\u0131n\u0131z ya\u011fdan gezdirerek servis edin.'], [u'']]","Toyga Çorbası Malzemeleri,1 su bardağı süzme yoğurt,2 yemek kaşığı un,1 adet yumurta sarısı,5 su bardağı su,1 su bardağı buğday – haşlanmış,1 su bardağı nohut – haşlanmış,Tuz,Beyaz biber,Üzeri için Malzemeler,2 yemek kaşığı tereyağı,Kuru nane,Pul biber"
https://www.ardaninmutfagi.com/yemek-tarifleri/et-yemekleri/ev-usulu-tantuni,Ev Usulü Tantuni,"[[u''], [u'Domateslerin \xe7ekirdeklerini \xe7\u0131kart\u0131n ve k\xfc\xe7\xfck k\xfcp do\u011fray\u0131n.', u'So\u011fan\u0131 ince piyazl\u0131k do\u011fray\u0131n.', u'Bir kar\u0131\u015ft\u0131rma kab\u0131na al\u0131p, \xfczerine sumak ilave edin ve iyice ovun.'], [u'Etlerinizi \xe7ok k\xfc\xe7\xfck ku\u015fba\u015f\u0131 olacak \u015fekilde do\u011fray\u0131n.', u'Sac\u0131n\u0131z\u0131 ya da tavan\u0131z\u0131 \u0131s\u0131t\u0131n.', u'\u0130\xe7erisine ay\xe7i\xe7ek ya\u011f\u0131n\u0131 al\u0131p k\u0131zd\u0131r\u0131n ve etleri ilave edip, kavurun.', u'Et kendi suyunu sal\u0131nca i\xe7erisine tuz ve karabiber ekleyin.', u'Etiniz suyunu \xe7ekip, hafif karamelize olmaya ba\u015flay\u0131nca biraz et suyu ekleyin.', u'Etler pi\u015fene kadar, ayn\u0131 \u015fekilde et suyu eklemeye ve \xe7ektirmeye devam edin.', u'Etler iyice pi\u015fince tavan\u0131z\u0131n ya da sac\u0131n\u0131z\u0131n kenarlar\u0131ndan ay\xe7i\xe7ek ya\u011f\u0131 ilave edin.', u'Lava\u015f\u0131n\u0131z\u0131 etin i\xe7erisine koyup, ya\u011fla biraz \u0131slat\u0131n.', u'Tavan\u0131z\u0131n ortas\u0131n\u0131 a\xe7\u0131n ve do\u011frad\u0131\u011f\u0131n\u0131z domatesleri ilave edip, bir tur \xe7evirin.'], [u'Ya\u011f ile \u0131slatt\u0131\u011f\u0131n\u0131z lava\u015flar\u0131 tezgah\u0131n\u0131za al\u0131n.', u'\u0130\xe7erisine haz\u0131rlad\u0131\u011f\u0131n\u0131z sumakl\u0131 so\u011fan ve maydanozdan ilave edin.', u'Lava\u015flara, tantuninizden payla\u015ft\u0131r\u0131n ve ince sar\u0131p, katlayarak servis edin.'], [u'']]","Ev Usulü Tantuni Malzemeleri,Ayçiçek yağı,500 gr. dana antrikot,Tuz,Karabiber,½ su bardağı et suyu,1 adet orta boy domates,Lavaş ekmeği,Sumaklı Soğan için Malzemeler,1 adet orta boy soğan,Sumak"
https://www.ardaninmutfagi.com/yemek-tarifleri/tavuk-yemekleri/damat-pacasi,Damat Paçası,"[[u''], [u'Tavu\u011fu ha\u015flamak i\xe7in;', u'Tencerenizin i\xe7erisine tavuk bagetlerinizi al\u0131n.', u'\u0130\xe7erisine iri do\u011franm\u0131\u015f havu\xe7 ve so\u011fan\u0131 al\u0131n.', u'Tane karabiber, defne yapra\u011f\u0131 ve su ilave edip, ha\u015flay\u0131n.'], [u'Yufka i\xe7in;', u'Yufkalar\u0131n\u0131z\u0131 3 parmak geni\u015fli\u011finde par\xe7alara ay\u0131r\u0131n.', u'Haz\u0131rlad\u0131\u011f\u0131n\u0131z yufkalar\u0131 \xfcst \xfcste olacak \u015fekilde cam f\u0131r\u0131n kab\u0131n\u0131za aralar\u0131na ay\xe7i\xe7ek ya\u011f\u0131 s\xfcrerek yerle\u015ftirin.', u'200 derecede \xf6nceden \u0131s\u0131t\u0131lm\u0131\u015f f\u0131r\u0131nda 20 \u2013 25 dakika yufkalar k\u0131zarana kadar pi\u015firin.'], [u'Be\u015famel i\xe7in;', u'K\xfc\xe7\xfck bir tencereye tereya\u011f\u0131 ekleyin ve eritin.', u'Un ekleyip kokusuna \xe7\u0131kana kadar 2 \u2013 3 tur \xe7evirin.', u'Ayr\u0131 bir kaseye su, yo\u011furt, yumurta, ezilip ince do\u011franm\u0131\u015f sar\u0131msa\u011f\u0131 al\u0131n ve tel \xe7\u0131rp\u0131c\u0131yla kar\u0131\u015ft\u0131r\u0131n.', u'Tencerenin i\xe7erisine al\u0131n ve be\u015famel k\u0131vam\u0131na gelene kadar kar\u0131\u015ft\u0131r\u0131p kenara al\u0131n.', u'Birle\u015ftirmek i\xe7in;', u'Ha\u015flad\u0131\u011f\u0131n\u0131z tavuklar\u0131 didikleyin, tuz ve karabiberle lezzetlendirip, kenara ay\u0131r\u0131n.', u'K\u0131zaran yufkalar\u0131n\u0131z\u0131 f\u0131r\u0131ndan al\u0131n \xfczerine 3 \u2013 4 kep\xe7e tavuk suyu gezdirerek \u0131slat\u0131n. Didikledi\u011finiz tavuklar\u0131 \u0131slatt\u0131\u011f\u0131n\u0131z yufkalar\u0131n \xfczerine yay\u0131n.', u'Haz\u0131rlad\u0131\u011f\u0131n\u0131z yo\u011furtlu be\u015fameli tavuklar\u0131n \xfczerine yay\u0131p f\u0131r\u0131na al\u0131n ve 7 \u2013 8 dakika suyunu biraz \xe7ekene, be\u015fameli biraz renk alana kadar pi\u015firin.'], [u'Tereya\u011f\u0131 ve pul biberi k\xfc\xe7\xfck bir tavada k\u0131zd\u0131r\u0131n.', u'F\u0131r\u0131ndan \xe7\u0131kan damat pa\xe7an\u0131z\u0131n \xfczerine gezdirerek servis edin.'], [u'']]","Damat Paçası Malzemeleri,Tavuğu Haşlamak için Malzemeler,6 – 8 adet tavuk baget,1 adet havuç,1 adet soğan,8 – 10 tane karabiber,1 adet defne yaprağı,7 – 8 su bardağı su,Yufka için Malzemeler,3 adet yufka,½ su bardağı ayçiçek yağı,2 – 3 su bardağı tavuk suyu,Yoğurtlu Beşamel için Malzemeler,2 yemek kaşığı tereyağı,2 yemek kaşığı un,1,5 su bardağı su,3 yemek kaşığı yoğurt,1 adet yumurta,1 diş sarımsak,Tuz,Üzeri için Malzemeler,Tereyağı,Pul biber"
https://www.ardaninmutfagi.com/yemek-tarifleri/zeytinyaglilar/visneli-yaprak-sarma-2,Vişneli Yaprak Sarma,"[[u''], [u'Asma yapraklar\u0131n\u0131 salamura kullan\u0131yorsan\u0131z, sadece s\u0131cak suda bekletip tuzunu al\u0131n.', u'Taze asma yapra\u011f\u0131 kullan\u0131yorsan\u0131z, suda y\u0131kay\u0131p ha\u015flay\u0131n.'], [u'Pilav i\xe7in;', u'Pirinci ni\u015fastas\u0131 \xe7\u0131k\u0131ncaya kadar y\u0131kay\u0131p s\xfcz\xfcn.', u'Geni\u015f bir tencereyi oca\u011fa al\u0131n, i\xe7erisine zeytinya\u011f\u0131n\u0131 al\u0131n ve k\u0131zd\u0131r\u0131n.', u'Dolmal\u0131k f\u0131st\u0131\u011f\u0131, tencereye ekleyip hafif renk alana kadar kavurun, so\u011fan\u0131 ilave ederek kavurmaya devam edin.', u'So\u011fanlar yumu\u015fay\u0131nca y\u0131kanm\u0131\u015f pirinci ekleyin, \u015feffafla\u015fana kadar kavurmaya devam edin.', u'Tuz, karabiber, tar\xe7\u0131n, yenibahar ve kuru naneyi ekleyip kar\u0131\u015ft\u0131r\u0131n.', u'Pirincin \xfczerine 1 su barda\u011f\u0131 vi\u015fne suyu, 1 su barda\u011f\u0131 su ve ku\u015f \xfcz\xfcm\xfcn\xfc ekleyin, bir tur kar\u0131\u015ft\u0131r\u0131n.', u'Pilav\u0131n suyu kaynad\u0131ktan 5 dakika sonra ocaktan al\u0131n ve so\u011fumaya b\u0131rak\u0131n.'], [u'Sarmak i\xe7in;', u'Tencerenin dibine asma yapraklar\u0131ndan bir taban yap\u0131n.', u'Asma yapraklar\u0131na uygun miktarda har\xe7 ve birer adet vi\u015fne koyup, kenarlar\u0131n\u0131 ortaya katlayarak parmak kal\u0131nl\u0131\u011f\u0131nda sar\u0131n.', u'Haz\u0131rlad\u0131\u011f\u0131n\u0131z sarmalar\u0131, asma yapraklar\u0131n\u0131n \xfczerine dizin.', u'Kalan vi\u015fneleri aralar\u0131na serpi\u015ftirin.', u'\xdczerine 1 \u2013 1,5 su barda\u011f\u0131 su, vi\u015fne suyu ve 4 \u2013 5 yemek ka\u015f\u0131\u011f\u0131 zeytinya\u011f\u0131 ekleyin.', u'\xdczerlerine porselen bir tabak koyup tencerenin kapa\u011f\u0131n\u0131 kapat\u0131n.', u'\xc7ok k\u0131s\u0131k ate\u015fte yakla\u015f\u0131k 35 \u2013 40 dakika pi\u015firin.'], [u'Kendi tenceresinde oda s\u0131cakl\u0131\u011f\u0131na gelmesini bekleyin.', u'Il\u0131k ya da so\u011fuk servis edin.'], [u'']]","Vişneli Yaprak Sarma Malzemeleri,400 gr. asma yaprağı,Pilav için Malzemeler,½ su bardağı zeytinyağı,2 yemek kaşığı dolmalık fıstık,2 adet soğan,2 su bardağı pirinç,Tuz,Karabiber,½ tatlı kaşığı tarçın,½ tatlı kaşığı yeni bahar,1 tatlı kaşığı kuru nane,1 su bardağı su,1 su bardağı vişne suyu,1 yemek kaşığı kuş üzümü,1 yemek kaşığı nar ekşisi,1 yemek kaşığı toz şeker,400 gr. vişne,1 su bardağı vişne suyu – sarmaları pişirmek için"
https://www.ardaninmutfagi.com/yemek-tarifleri/tatlilar/sutlu-nuriye-3,Sütlü Nuriye,"[[u''], [u'K\xfc\xe7\xfck bir tencerede tereya\u011f\u0131n\u0131 eritin.', u'\xdczerindeki ve alt\u0131ndaki s\xfctl\xfc k\u0131sm\u0131 ay\u0131r\u0131p, bir sade ya\u011f haz\u0131rlay\u0131n.', u'Dikd\xf6rtgen cam f\u0131r\u0131n kab\u0131n\u0131z\u0131n taban\u0131n\u0131 eritti\u011finiz tereya\u011f\u0131yla bir f\u0131r\xe7a yard\u0131m\u0131yla ya\u011flay\u0131n.  Baklava yufkalar\u0131n\u0131 25 kat olacak \u015fekilde f\u0131r\u0131n kab\u0131n\u0131z\u0131n boyutuna g\xf6re kesin.', u'Aralar\u0131na tereya\u011f\u0131 s\xfcrerek f\u0131r\u0131n kab\u0131n\u0131za dizin.', u'\u0130lk 25 kat\u0131 bitince her taraf\u0131na e\u015fit olacak \u015fekilde f\u0131nd\u0131klar\u0131 serpin ve \xfczerini tekrar aralar\u0131n\u0131 ya\u011flayarak 25 kat daha baklava yufkas\u0131 ile kaplay\u0131n.', u'Tatl\u0131n\u0131z\u0131 e\u015fit kare dilimler olacak \u015fekilde kesin.', u'180 derecede \xf6nceden \u0131s\u0131t\u0131lm\u0131\u015f f\u0131r\u0131nda 25 \u2013 30 dakika pi\u015firin.'], [u'Not: File ya da pirin\xe7 f\u0131nd\u0131k bulamazsan\u0131z b\xfct\xfcn f\u0131nd\u0131\u011f\u0131 da ince ince k\u0131yabilirsiniz.'], [u'\u015eerbeti i\xe7in;', u'Bir tencereye su ve toz \u015fekeri ilave edin, \u015feker eriyene kadar kar\u0131\u015ft\u0131r\u0131p, kaynat\u0131n.', u'Kaynayan \u015ferbetinizin \xfczerine s\xfct\xfc ilave edin ve ocaktan almadan hafif kar\u0131\u015ft\u0131r\u0131n.', u'S\xfctl\xfc Nuriye f\u0131r\u0131ndan \xe7\u0131k\u0131nca s\u0131cak tatl\u0131ya \u0131l\u0131k olan \u015ferbetini verin ve tatl\u0131n\u0131z so\u011fuyunca servis edin.'], [u'']]","Sütlü Nuriye Malzemeleri,50 yaprak baklavalık yufka,350 gr. tereyağı,4 su bardağı file ya da pirinç fındık,Şerbeti için Malzemeler,3 su bardağı toz şeker,3 su bardağı süt,1,5 su bardağı su"
https://www.ardaninmutfagi.com/yemek-tarifleri/tatlilar/dondurmali-irmik-helvasi,Dondurmalı İrmik Helvası,"[[u'Tereya\u011f\u0131n\u0131 bir tencereye al\u0131p eritin.', u'Ya\u011f eriyince irmi\u011fi ekleyin ve irmik renk alana kadar kavurun.', u'Ayr\u0131 bir tencereye su ve toz \u015fekeri ekleyin.', u'Kaynay\u0131nca s\xfct\xfc ekleyin ve \u0131l\u0131nana kadar pi\u015firin.', u'S\xfctl\xfc \u015ferbet, hafif \u0131l\u0131n\u0131nca kavurdu\u011funuz irmi\u011fin i\xe7erisine \u0131l\u0131k \u015ferbeti d\xf6k\xfcn ve kar\u0131\u015ft\u0131r\u0131p kapa\u011f\u0131n\u0131 kapat\u0131n.', u'5 \u2013 10 dakika bu \u015fekilde pi\u015firin ve demlendirin.', u'\xc7ukur bir kasenin i\xe7erisine irmik helvas\u0131n\u0131 ortas\u0131 \xe7ukur kalacak \u015fekilde bast\u0131rarak doldurun. \xc7ukur kalan yeri dondurma ile doldurun ve irmik helvas\u0131 ile kapat\u0131n. Servis taba\u011f\u0131na ters \xe7evirerek servis edin.', u'Dilerseniz \xfczerine toz antep f\u0131st\u0131\u011f\u0131 ve tar\xe7\u0131n serperek servis edin.'], [u'']]","Dondurmalı İrmik Helvası Malzemeleri,500 gr. irmik (3,5 su bardağı),250 gr. tereyağı,1,5 su bardağı su,3 su bardağı süt,2 su bardağı toz şeker,500 gr. kaymaklı dondurma"
https://www.ardaninmutfagi.com/yemek-tarifleri/hamurlular/bayat-pide-koftesi-2,Bayat Pide Köftesi,"[[u''], [u'Ramazan pidelerini k\xfc\xe7\xfck k\xfcpler \u015feklinde do\u011fray\u0131n.', u'So\u011fan\u0131 rendeleyin.', u'Maydanozu ince k\u0131y\u0131n.', u'B\xfct\xfcn malzemeleri bir kar\u0131\u015ft\u0131rma kab\u0131na al\u0131n ve yo\u011furun.', u'Ard\u0131ndan ceviz b\xfcy\xfckl\xfc\u011f\xfcnde par\xe7alar kopar\u0131n ve yuvarlay\u0131p \xfcstlerine bast\u0131rarak k\xf6fte \u015feklini verin.', u'Bir tavada ay\xe7i\xe7ek ya\u011f\u0131n\u0131 k\u0131zd\u0131r\u0131n, haz\u0131rlad\u0131\u011f\u0131n\u0131z k\xf6fteleri k\u0131zart\u0131n ve s\u0131cak ya da \u0131l\u0131k servis edin.'], [u'']]","Bayat Pide Köftesi Malzemeleri,½ adet ramazan pidesi,1 adet soğan – rende,8 – 10 yemek kaşığı süt,1 adet yumurta,1 tutam kimyon,1 tutam tuz,1 tutam karabiber,1 tutam pul biber,1 paket kabartma tozu,½ bağ maydanoz"
https://www.ardaninmutfagi.com/yemek-tarifleri/tavuk-yemekleri/kagit-kebabi,Kağıt Kebabı,"[[u''], [u'\u0130ri k\xfcp do\u011frad\u0131\u011f\u0131n\u0131z tavuklar\u0131 geni\u015f bir kar\u0131\u015ft\u0131rma kab\u0131na al\u0131n.', u'\xdczerine zeytinya\u011f\u0131, soya sos, sal\xe7alar, iri do\u011franm\u0131\u015f ceviz, tuz, karabiber ve kuru keki\u011fi ekleyip, iyice harmanlay\u0131n.', u'Kabak ve patl\u0131can\u0131 iri k\xfcp, patatesi daha k\xfc\xe7\xfck k\xfcpler olacak \u015fekilde do\u011fray\u0131n, sar\u0131msaklar\u0131n \xfczerine vurun, arpac\u0131k so\u011fanlar\u0131 soyun ve tavuklar\u0131n\u0131z\u0131n oldu\u011fu kaseye ilave edin.', u'B\xfct\xfcn sebzeleri ve tavuklar\u0131 iyice harmanlay\u0131n.', u'Haz\u0131rlad\u0131\u011f\u0131n\u0131z kar\u0131\u015f\u0131m\u0131 4 e\u015fit par\xe7aya b\xf6l\xfcn ve ya\u011fl\u0131 ka\u011f\u0131tlara payla\u015ft\u0131r\u0131n.', u'\xdczerini kapatacak \u015fekilde kenarlar\u0131ndan k\u0131v\u0131rarak \u015feker paketi gibi haz\u0131rlay\u0131n.', u'190 derecede \xf6nceden \u0131s\u0131t\u0131lm\u0131\u015f f\u0131r\u0131nda 30 \u2013 35 dakika pi\u015firin.'], [u'']]","Kağıt Kebabı Malzemeleri,6 adet kemiksiz tavuk kalça,1 adet kabak – iri küp doğranmış,1 adet orta boy patlıcan – iri küp doğranmış,2 adet orta boy patates – küçük küp doğranmış,10 – 15 adet arpacık soğan,4 diş sarımsak,1 su bardağı bezelye – haşlanmış ya da dondurulmuş,10 adet siyah zeytin,Sosu için Malzemeler,3 yemek kaşığı zeytinyağı,2 yemek kaşığı az tuzlu soya sosu,1 tatlı kaşığı domates salçası,1 tatlı kaşığı biber salçası,1 avuç ceviz – iri dövülmüş,Tuz,Karabiber,Kuru kekik"
